TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
6001000,Season,Season,integer,32,False,The college basketball season of the game,True,False
6001000,Season,StartYear,integer,32,False,The year in which the season started,True,False
6001000,Season,EndYear,integer,32,False,The year in which the season ended,True,False
6001000,Season,Description,string,10,True,The description of this season for display purposes (e.g. 2017-18; 2018-19; etc),True,False
6001000,Season,RegularSeasonStartDate,date,,True,The start date of the regular season,True,False
6001000,Season,PostSeasonStartDate,date,,True,The start date of the postseason,True,False
6001000,Season,ApiSeason,string,50,True,The string to pass into subsequent API calls in the season parameter,True,False
6002000,Conference,ConferenceID,integer,32,False,The ID of the team's conference,True,False
6002000,Conference,Name,string,50,False,The name of the team's conference,True,False
6002000,Conference,Teams,Team[],,True,The college teams within this conference,True,False
6003000,Team,TeamID,integer,32,False,The auto-generated unique ID of the Team,True,False
6003000,Team,[Key],string,10,False,Abbreviation of the team (e.g. OU; TTU; USC; UK; etc.),True,False
6003000,Team,Active,boolean,,False,Whether or not this team is active,True,False
6003000,Team,School,string,50,True,The school of the team (e.g. Oklahoma University; Texas Tech University; University of Southern California; Kentucky University; etc),True,False
6003000,Team,Name,string,50,True,The mascot of the team (e.g. Sooners; Red Raiders; Trojans; Wildcats; etc.),True,False
6003000,Team,ApRank,integer,32,True,The AP Rank of the team ,True,False
6003000,Team,Wins,integer,32,True,The total number of wins by the school,True,False
6003000,Team,Losses,integer,32,True,The total number of losses by the school,True,False
6003000,Team,ConferenceWins,integer,32,True,The total number of conference wins by the school,True,False
6003000,Team,ConferenceLosses,integer,32,True,The total number of conference losses by the school,True,False
6003000,Team,GlobalTeamID,integer,32,False,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues.,False,False
6003000,Team,ConferenceID,integer,32,True,The ID of the team's conference,True,False
6003000,Team,Conference,string,50,True,The name of the team's conference,True,False
6003000,Team,TeamLogoUrl,string,100,True,The url of the team logo image.,True,False
6003000,Team,ShortDisplayName,string,10,True,The short display name of the team,True,False
6003000,Team,Stadium,Stadium,,True,The home stadium of the team,True,False
6006000,Game,GameID,integer,32,False,The unique ID of this game,True,False
6006000,Game,Season,integer,32,False,The College Basketball season of the game,True,False
6006000,Game,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
6006000,Game,Status,string,20,True,Indicates the game's status. Possible values include: Scheduled; InProgress; Final; F/OT; Suspended; Postponed; Canceled,True,False
6006000,Game,Day,date,,True,The date of the game,True,False
6006000,Game,DateTime,datetime,,True,The date and time of the game,True,False
6006000,Game,AwayTeam,string,10,True,The abbreviation of the Away Team,True,False
6006000,Game,HomeTeam,string,10,True,The abbreviation of the Home Team,True,False
6006000,Game,AwayTeamID,integer,32,True,The unique ID of the away team,True,False
6006000,Game,HomeTeamID,integer,32,True,The unique ID of the home team,True,False
6006000,Game,AwayTeamScore,integer,32,True,Total number of points the away team scored in this game,True,True
6006000,Game,HomeTeamScore,integer,32,True,Total number of points the home team scored in this game,True,True
6006000,Game,Updated,datetime,,True,The timestamp of when this game was last updated (in US Eastern Time),True,False
6006000,Game,Period,string,10,True,The current half of the game (Possible Values: 1; 2; Half; OT; F; F/OT; NULL),True,False
6006000,Game,TimeRemainingMinutes,integer,32,True,Number of minutes remaining in the half,True,False
6006000,Game,TimeRemainingSeconds,integer,32,True,Number of seconds remaining in the half,True,False
